"id_Producto","id_Marca","id_Categoria","Nombre","Precio","Imagen","Descripcion","Subcategoria"
"44","1","7","MASCARILLA HIDRATANTE INTENSA","37.00","images/hair_intensehydratingmask.jpg","PARA CABELLO SECO DE MEDIO A GRUESO : Disfrute de un tratamiento que en cinco minutos revitaliza su cabello. La Mascarilla Hidratante Intensa Moroccanoil® aporta un acondicionamiento profundo para cabello seco, de medio a grueso.","hidratacion"
"45","1","7","MASCARILLA HIDRATANTE ULTRALIGERA","42.50","images/hair_weightlesshydratingmask.jpg","PARA CABELLO FINO Y SECO : Reviva el cabello seco y sin vida con esta mascarilla capilar que en cinco minutos hidrata su cabello. La Mascarilla Hidratante Ultraligera Moroccanoil® es un tratamiento acondicionador profundo, cremoso, y ligero formulado a base de aceite de argán e ingredientes nutritivos.","hidratacion"
"46","1","7","Repair Hair Mask","45.50","images/hair_restorativemask.jpg","PARA CABELLO DEBILITADO Y DAÑADO : La Mascarilla Capilar Reconstituyente Moroccanoil® está formulada para el cabello que necesita reparación inmediata. Este tratamiento revitalizador capilar renueva el cabello en tan solo 5-7 minutos, restaurando las proteínas de la fibra capilar que han sido dañadas por procesos químicos o por el uso de herramientas térmicas para realizar peinados y estilismos.","reparador"
"47","1","7","SMOOTH MASK REDUCTORA VOLUMEN","45.50","images/hair_smoothingmask.jpg","PARA CABELLO REBELDE Y ENCRESPADO: Esta mascarilla altamente altamente concentrada con mantecaa de argán, suaviza y controla el cabello rebelde y encrespado. La Mascarilla Suavizante Moroccanoil® está enriquecida con manteca de argán, aceite de argán y ácidos grasos derivados del coco para hidratar y nutrir profunda e intensamente.","volumen"
"48","1","4","Pack Intense Hydrating Mask","40.40","images/set_azul.jpg","Intense Hydrating Mask. Hidratante intensa para cabello medio, seco y áspero.","hidratacion"
"49","1","4","Pack Restorative Hair Mask","49.70","images/set_naranja.jpeg","Set formado por dos Marcarillas Restorative Hair Mask de 75 ml. y 250 ml. ideal para tener una en casa y otra en el neceser de viaje.","reparador"
