"id_Producto","id_Marca","id_Categoria","Nombre","Precio","Imagen","Descripcion","Subcategoria"
"1","1","1","Cepillo Redondo de Cerdas de Jabalí 25 mm","55.50","images/hair-boarbrush-25.jpg","",""
"2","1","1","Cepillo Redondo de Cerdas de Jabalí 35 mm","64.50","images/hair-boarbrush-35.jpg","",""
"3","1","1","Cepillo Redondo de Cerdas de Jabalí 45 mm","70.00","images/hair-boarbrush-45.jpg","",""
"4","1","1","Cepillo Plano de Cerámica","27.00","images/hair_ceramicbrush_paddle.jpg","",""
"5","1","1","Cepillo Redondo de Cerámica 35 mm","27.00","images/hair_ceramicbrush_35.jpg","",""
"6","1","1","Cepillo Redondo de Cerámica 55 mm","32.50","images/hair_ceramicbrush_55.jpg","",""
"7","1","1","Cepillo Térmico Cerámica Iónica Redondo 25mm.","19.50","images/hair_ceramicbrush_25.jpg","",""
"8","1","1","Cepillo clásico de cerdas de jabalí","55.50","images/hair_boarbrush_paddle.jpg","",""
